ZTF19acgbzam 0.070000 Ia
58849.1676273 2 20.0688 0.187516
58846.1281713 2 20.0748 0.237436
58836.0932292 2 19.8737 0.22476
58833.3474653 2 19.5365 0.245976
58833.2117477 2 19.3689 0.165981
58814.1911458 2 18.7358 0.0954036
58812.2193287 2 18.7115 0.114309
58811.3001042 2 18.6861 0.110358
58806.2462616 2 18.5982 0.0934844
58803.2916782 2 18.4387 0.0631537
58803.2694676 2 18.3411 0.0842693
58801.3121528 2 18.2176 0.0675165
58800.3162847 2 18.1972 0.104623
58794.3177199 2 18.0452 0.068971
58791.3362731 2 18.0131 0.0911396
58789.2905903 2 18.0495 0.0593679
58785.2934259 2 18.2432 0.0640912
58782.3268403 2 18.3792 0.055991
58779.3156019 2 18.7366 0.0869739
58776.2925463 2 19.3509 0.144082
