ZTF19acgjpgh 0.064000 II
58963.1674074 1 20.3893 0.205818
58955.1836574 1 20.2518 0.238094
58909.2722801 1 20.2502 0.249657
58904.2925463 1 20.0772 0.211503
58898.2743519 1 19.6253 0.139069
58894.316088 1 19.2919 0.121369
58891.2418634 1 19.147 0.164491
58884.2944676 1 19.0274 0.143697
58876.3578704 1 18.9311 0.0858713
58876.3578704 1 18.936 0.085898
58873.3568634 1 18.9194 0.104924
58867.3971875 1 18.7889 0.0907718
58864.4009606 1 18.6184 0.0790704
58855.4603704 1 17.8291 0.0587558
58849.4801389 1 17.508 0.074302
58838.4746644 1 17.4561 0.108491
58835.5068634 1 17.5461 0.0720379
58830.5493287 1 17.6329 0.0623514
58819.5458565 1 17.8271 0.171517
58804.5025 1 17.6498 0.0912066
58792.5410069 1 18.1736 0.0711344
58789.5041435 1 18.306 0.0866518
