ZTF19acgjpgh 0.064000 II
58912.2291204 2 19.4333 0.191625
58909.2937037 2 19.5096 0.217918
58904.230625 2 19.3042 0.103877
58901.3722222 2 19.2248 0.111804
58898.3161806 2 18.9952 0.111049
58894.2718519 2 18.649 0.082974
58891.3156597 2 18.5338 0.096823
58884.2309144 2 18.4754 0.139054
58879.3606481 2 18.4133 0.120202
58876.2946875 2 18.473 0.064496
58873.3310532 2 18.4519 0.059766
58864.3352315 2 18.0944 0.0764233
58860.3563194 2 17.8143 0.0773033
58860.3544329 2 17.8347 0.0937344
58859.3200231 2 17.784 0.0751174
58852.4364583 2 17.4468 0.041978
58849.4279398 2 17.3218 0.0581445
58838.5038426 2 17.3985 0.0639696
58827.4382986 2 17.6152 0.0641649
58823.5423843 2 17.6335 0.0926046
58812.5484838 2 17.6299 0.0548686
58804.5436458 2 17.6235 0.0520752
58799.4834259 2 17.7868 0.0843781
58792.5047801 2 18.1064 0.0688309
58789.525463 2 18.2555 0.0663703
58785.5197917 2 18.4021 0.0858295
58776.5198032 2 19.0266 0.177332
