ZTF19acgmkrt 0.070400 Ia
58813.1625579 1 19.6416 0.311834
58811.2016551 1 19.5632 0.204316
58806.1922454 1 19.128 0.134234
58803.2048611 1 18.8247 0.123235
58793.1896759 1 18.2595 0.0922501
58790.291412 1 18.271 0.0720424
58790.2733333 1 18.2808 0.0903487
58789.164537 1 18.3087 0.0764571
58788.1641319 1 18.2038 0.107567
58787.163206 1 18.2671 0.0925739
58786.1708796 1 18.3875 0.115947
58785.1639005 1 18.4164 0.0791459
58783.1641898 1 18.6439 0.0870459
58782.1626505 1 18.585 0.112595
58781.163831 1 18.8886 0.120406
58779.1638773 1 19.1594 0.190625
58778.1640625 1 19.5151 0.17681
58777.1638657 1 20.0769 0.2794
