ZTF19acgqjln 0.050000 Ia
58811.1847801 1 19.6172 0.407291
58811.0997106 1 19.867 0.208834
58806.1879514 1 19.5054 0.170832
58805.1747569 1 19.3251 0.1917
58805.0980903 1 19.5209 0.201401
58804.1924537 1 19.1123 0.244088
58803.1962616 1 18.9815 0.178425
58802.1742593 1 19.2078 0.145468
58802.1732755 1 19.0663 0.168897
58801.1877662 1 18.9599 0.175471
58800.1870718 1 18.8399 0.149038
58798.1115394 1 18.7235 0.139888
58797.1528819 1 18.5529 0.11887
58796.1486574 1 18.5082 0.148134
58796.1381713 1 18.568 0.137527
58795.1682986 1 18.4702 0.100591
58795.133206 1 18.6511 0.139779
58794.1765625 1 18.4689 0.121382
58794.1372222 1 18.5278 0.120058
58793.1553819 1 18.4259 0.101127
58793.1544213 1 18.4685 0.076247
58792.196412 1 18.3186 0.118556
58792.1949421 1 18.5017 0.117572
58791.1492708 1 18.3997 0.0970332
58791.1487269 1 18.485 0.0811638
58789.1720718 1 18.3726 0.108182
58789.1697454 1 18.3761 0.106105
58788.1716667 1 18.4061 0.0944986
58788.1693287 1 18.4608 0.127255
58787.1707292 1 18.4271 0.0879685
58787.1684028 1 18.5194 0.111629
58786.1784144 1 18.4843 0.0811124
58786.176088 1 18.4629 0.096245
58785.1719676 1 18.5384 0.0943178
58785.1696412 1 18.6836 0.102246
58783.1722569 1 18.7604 0.104891
58783.1699306 1 18.8583 0.11088
58782.1712037 1 18.9101 0.124743
58782.1688657 1 18.9308 0.110534
58781.1723843 1 19.0473 0.195305
58781.1700463 1 19.0364 0.168121
58779.1728935 1 19.469 0.136576
58779.1705556 1 19.6576 0.183503
58778.1730671 1 19.7232 0.165338
58778.1707292 1 19.938 0.236213
58777.1728704 1 20.1418 0.268832
58776.172419 1 20.6401 0.319339
58776.1700926 1 20.4284 0.343732
