ZTF19acgqjln 0.050000 Ia
58812.0996181 2 19.0963 0.15716
58812.0977662 2 18.9732 0.165558
58811.1236227 2 18.9439 0.16209
58805.2140856 2 18.9122 0.102818
58805.0808565 2 19.1725 0.224687
58804.2332292 2 18.9337 0.222949
58803.2401968 2 18.8068 0.119605
58801.2378356 2 18.7685 0.154401
58798.2035532 2 18.5799 0.129834
58797.1006829 2 18.4086 0.0888907
58797.0951736 2 18.4456 0.104157
58796.1025 2 18.4647 0.10353
58795.0991319 2 18.3787 0.0893693
58795.0954977 2 18.4804 0.123841
58794.1035069 2 18.3804 0.109178
58793.0988889 2 18.2773 0.101226
58793.0923264 2 18.2336 0.0908306
58792.1281597 2 18.33 0.102115
58792.1146296 2 18.2788 0.0831743
58791.0906366 2 18.4083 0.086431
58791.0887384 2 18.357 0.0914635
58790.1292014 2 18.2929 0.10501
58790.1143056 2 18.3924 0.0972159
58789.1452894 2 18.3732 0.0873719
58789.1429514 2 18.4261 0.0978059
58788.1448958 2 18.363 0.0860338
58788.1425694 2 18.4202 0.0879748
58787.1440162 2 18.5206 0.134927
58787.1416782 2 18.5057 0.124126
58786.1516551 2 18.4655 0.0833628
58786.1493171 2 18.462 0.0972006
58785.1447454 2 18.557 0.119725
58785.1424074 2 18.5172 0.0978053
58783.1451042 2 18.7715 0.10078
58783.1427662 2 18.728 0.105582
58782.1439005 2 18.8386 0.091159
58782.1415625 2 18.9852 0.126523
58781.1447917 2 19.0454 0.231474
58781.1424537 2 18.8178 0.178082
58779.1448843 2 19.5018 0.179034
58778.145081 2 19.847 0.204907
58778.1427546 2 19.7883 0.196334
58777.1448843 2 20.0233 0.289595
58777.1425463 2 19.9242 0.252962
58776.1444792 2 20.3389 0.279419
58776.1421412 2 20.3919 0.291685
