ZTF19acjtpqd 0.017170 Ic
58986.2889583 2 19.3582 0.0973682
58981.2753125 2 19.2347 0.116117
58980.3061458 2 19.3501 0.0911904
58979.346956 2 19.1778 0.12094
58978.2821991 2 19.2509 0.134565
58977.4322454 2 19.0599 0.167415
58976.3298495 2 19.3136 0.232389
58975.4043403 2 19.2198 0.168565
58974.3329167 2 19.2172 0.140153
58974.306331 2 19.1697 0.136303
58972.4209838 2 19.1961 0.107447
58971.4145949 2 19.2704 0.121806
58966.3880671 2 19.0653 0.093536
58965.3366435 2 19.0027 0.0800717
58962.3289468 2 19.0921 0.0992226
58961.4371412 2 19.0889 0.116461
58956.3408565 2 19.0195 0.116035
58953.4430787 2 19.0665 0.097726
58943.4959491 2 18.8291 0.0685021
58936.4449074 2 18.8222 0.0803892
58914.5322338 2 18.5604 0.0767704
58911.4944097 2 18.5316 0.112316
58906.5164815 2 18.4952 0.079002
58903.5186921 2 18.4762 0.059278
58898.5364468 2 18.4329 0.06049
58893.5280787 2 18.3683 0.0769412
58890.4844329 2 18.3505 0.116815
58887.5429282 2 18.2576 0.0699334
58884.556169 2 18.2217 0.0570616
58878.5559722 2 18.1831 0.06391
58875.5438542 2 18.1041 0.050497
58872.5657986 2 18.0811 0.0692593
58864.5166667 2 17.9427 0.0520029
58792.1114468 2 17.0738 0.039826
