ZTF19acjwqvo 0.049000 Ia
58837.0750694 2 19.818 0.177109
58831.0912037 2 19.4981 0.145505
58819.1650231 2 18.9276 0.113313
58819.1104977 2 18.9238 0.125675
58814.184537 2 18.7695 0.119756
58814.1657407 2 18.5852 0.240801
58811.1365741 2 18.7228 0.0944025
58806.2219792 2 18.2858 0.0608522
58803.2550116 2 18.0861 0.184973
58801.2699421 2 18.1247 0.102185
58799.2238773 2 18.111 0.0691178
58797.1143056 2 18.0921 0.0582025
58794.117662 2 18.1948 0.0591168
58792.1572801 2 18.4036 0.0644057
58791.1133565 2 18.5787 0.0802877
58790.1410532 2 18.7106 0.096239
58789.2585069 2 19.2209 0.147596
58785.2385417 2 20.4351 0.197925
