ZTF19aclofmz 0.031000 Ia
58849.1866204 2 19.9054 0.139874
58846.1387963 2 19.7584 0.144151
58836.1015162 2 19.5654 0.149699
58833.2851505 2 19.246 0.17746
58833.1001968 2 19.3483 0.107269
58831.0737847 2 19.1012 0.070751
58830.2871528 2 18.9581 0.106379
58830.2450463 2 19.0615 0.122009
58819.2588773 2 18.2299 0.132935
58814.1784491 2 18.1031 0.0539398
58812.1955208 2 18.0864 0.0691195
58812.1856481 2 18.0884 0.0562437
58811.1602431 2 18.0608 0.0328759
58806.2392245 2 17.6516 0.0256377
58805.3394907 2 17.6091 0.0482284
58805.2266319 2 17.5651 0.0482985
58804.2253009 2 17.5356 0.0443033
58803.2774306 2 17.5517 0.039186
58803.2652662 2 17.5713 0.0455919
58801.2968287 2 17.5651 0.0366078
58801.2555671 2 17.5418 0.0604734
58799.2667708 2 17.6349 0.0459446
58798.2393171 2 17.5776 0.0350344
58798.2196296 2 17.6069 0.0447124
58797.3272338 2 17.6946 0.0649556
58796.2992477 2 17.7516 0.0344983
58795.3171991 2 17.8648 0.0514043
58794.3211227 2 17.9873 0.0498926
58793.3728356 2 18.2338 0.0604909
58792.3646296 2 18.379 0.0554191
58791.3477662 2 18.6689 0.0768143
58789.2645833 2 19.2137 0.0749414
58788.278287 2 19.5331 0.118301
