ZTF19acnjwgm 0.034000 Ia
58880.1067477 1 20.3309 0.250115
58877.1737847 1 20.2135 0.323349
58876.1525694 1 20.1628 0.188805
58876.1525694 1 20.1618 0.190265
58874.1517361 1 20.2947 0.286329
58871.1852546 1 20.0652 0.188127
58864.1402662 1 19.9682 0.138489
58861.0992708 1 19.8438 0.171286
58852.115706 1 19.5699 0.227471
58852.1040625 1 19.6928 0.185593
58849.1286574 1 19.6889 0.132265
58849.100625 1 19.6594 0.13818
58846.2168403 1 19.6847 0.141013
58836.132338 1 19.0853 0.0927975
58833.1796875 1 19.0101 0.152303
58830.1871181 1 18.6728 0.129227
58830.128206 1 18.6878 0.123931
58828.1224769 1 18.5073 0.166705
58820.2289005 1 17.7121 0.0804432
58820.1651505 1 17.6604 0.0844481
58819.2283218 1 17.5705 0.047372
58813.188831 1 17.1656 0.0686705
58813.182037 1 17.1518 0.0484796
58812.321713 1 17.069 0.0389939
58811.2146412 1 17.0564 0.029833
58811.2084954 1 17.0245 0.044953
58806.1972801 1 16.889 0.0425625
58805.1912731 1 16.8961 0.0396943
58804.2060764 1 16.9182 0.032637
58803.189919 1 16.9103 0.0476849
58802.2444792 1 17.0232 0.0510035
58802.1894097 1 16.9787 0.0459915
58801.2284375 1 17.0332 0.0417313
58797.2286921 1 17.495 0.0581784
58795.255706 1 18.0289 0.0854193
58794.2576852 1 18.2585 0.0615525
58792.3510069 1 19.0013 0.0950429
58791.2963426 1 19.581 0.117671
58790.2805324 1 20.3062 0.218903
58790.2800926 1 20.3065 0.230934
