ZTF19acrcxri 0.027400 II
58875.1321644 1 19.5073 0.160498
58872.1554514 1 19.2794 0.136918
58862.1253356 1 18.7783 0.0711244
58859.0822917 1 18.7269 0.119365
58852.1001157 1 18.4343 0.0968514
58828.1058449 1 17.7711 0.075656
58819.1686806 1 17.5192 0.0594824
58814.1079398 1 17.3698 0.0794314
58812.1458218 1 17.3075 0.0499567
58811.1719097 1 17.2856 0.0506708
58806.1776273 1 16.9733 0.0854344
58803.1740394 1 17.0324 0.0534425
58802.2231597 1 17.0711 0.0628058
58800.1913079 1 17.1904 0.054913
58797.2078935 1 18.3546 0.124903
58797.189213 1 18.4315 0.12379
