ZTF19acszmgx 0.042000 II
58904.1712731 2 19.4772 0.109524
58899.1439583 2 19.3885 0.1465
58896.1628935 2 19.3136 0.136851
58885.1556134 2 18.884 0.216232
58880.1816319 2 19.1371 0.158115
58877.1615046 2 19.2028 0.117117
58874.2118287 2 19.0752 0.183864
58873.2007407 2 18.9647 0.108272
58871.2327083 2 18.9194 0.117844
58861.1986921 2 18.9793 0.167819
58860.2511111 2 18.7733 0.119536
58860.2147569 2 18.853 0.144505
58859.3319792 2 18.7829 0.177453
58852.177662 2 18.7752 0.105262
58836.4195949 2 18.7006 0.0745107
58833.2925116 2 18.6933 0.124982
58805.3903356 2 18.7387 0.138006
