ZTF19acvwllm 0.080000 Ia
58864.1252431 1 20.8479 0.300673
58862.1138079 1 20.8289 0.274385
58849.0894907 1 19.817 0.115141
58849.0865625 1 19.8918 0.136071
58837.1423148 1 18.8161 0.0655849
58836.1443866 1 18.7766 0.0568328
58833.135544 1 18.575 0.0931165
58831.2000347 1 18.4841 0.077151
58831.1177894 1 18.4722 0.0846572
58830.1778241 1 18.4804 0.0957177
58829.1103241 1 18.4625 0.101955
58828.1192708 1 18.5058 0.186116
58820.1793981 1 18.6208 0.135731
58820.158588 1 18.7719 0.0949342
58819.2148032 1 18.8814 0.082467
58812.1503472 1 20.9689 0.304454
