ZTF19acxpnvd 0.084900 Ia
58873.5068866 2 19.8684 0.18716
58871.485 2 19.9139 0.198358
58867.465 2 19.689 0.199394
58867.4645486 2 19.7678 0.222326
58864.4822569 2 19.5843 0.16566
58855.540463 2 19.2303 0.104396
58853.5457176 2 19.1512 0.130115
58852.5450231 2 19.1819 0.105046
58850.4836111 2 19.0339 0.167485
58849.5449884 2 19.0547 0.152091
58849.544537 2 19.113 0.136756
58846.5647454 2 18.8601 0.10011
58838.5174769 2 18.6981 0.158656
58837.460787 2 18.7953 0.211256
58837.4603356 2 18.6922 0.215558
58831.4568403 2 19.0907 0.191512
58831.4436574 2 18.9569 0.210612
58828.5670255 2 19.3873 0.152104
