ZTF19acxyfkf 0.040000 Ia
58903.1863079 2 19.9082 0.192753
58903.1740394 2 19.9784 0.188815
58900.2175231 2 20.0296 0.174947
58898.1585995 2 20.057 0.165624
58898.1412847 2 19.9376 0.13449
58892.2800347 2 19.7866 0.161032
58884.1719676 2 19.1507 0.206997
58882.145625 2 19.3611 0.115138
58880.2048032 2 19.2165 0.114332
58878.1594444 2 19.1432 0.180917
58875.2165278 2 19.0956 0.084456
58873.1938657 2 18.9413 0.100007
58867.2657755 2 18.509 0.0678027
58864.2447454 2 18.3844 0.0598531
58863.2212616 2 18.2565 0.133924
58862.3070486 2 18.3393 0.0540193
58861.2083333 2 18.3101 0.0993323
58861.1374653 2 18.4321 0.108272
58860.2793287 2 18.2946 0.0794807
58860.2340972 2 18.4143 0.0990282
58859.2756134 2 18.3467 0.0966209
58859.2525463 2 18.3582 0.0919214
58856.1939468 2 18.2591 0.0616545
58854.4469676 2 18.2409 0.106043
58854.1743866 2 18.2586 0.0986688
58851.4304861 2 18.1256 0.0726019
58850.4574653 2 18.0612 0.0951231
58846.287419 2 17.6863 0.0554048
58836.4967824 2 17.5847 0.0458323
58833.3344329 2 17.7791 0.0597972
58833.3041204 2 17.8476 0.0547213
58830.3055671 2 18.2548 0.0815046
