ZTF19acyfkbf 0.050000 Ia
58894.1373032 2 19.8968 0.1857
58891.1091088 2 19.9669 0.214613
58885.1417477 2 19.5883 0.223744
58882.1288542 2 19.562 0.187682
58877.1393519 2 19.1669 0.112071
58874.111088 2 18.9776 0.0830218
58871.1057523 2 19.0123 0.0763186
58871.1003472 2 18.9869 0.0948036
58867.1089352 2 18.864 0.0972318
58861.178669 2 18.8516 0.0942155
58860.1801389 2 18.7761 0.112082
58859.1734838 2 18.6149 0.0957607
58855.2079167 2 18.5592 0.0887398
58850.1267824 2 18.3745 0.122755
58846.1267824 2 18.1826 0.0658202
58831.1014468 2 19.2213 0.122627
