ZTF19acygjmg 0.055000 Ia
58895.1608218 1 20.6044 0.272446
58881.1802083 1 20.3836 0.297165
58878.2226273 1 19.87 0.243618
58876.1993519 1 20.0247 0.133154
58867.2185301 1 19.2558 0.093567
58864.1707523 1 19.0308 0.0829785
58864.1655324 1 19.0029 0.0745535
58861.1154398 1 18.7197 0.099386
58860.1183565 1 18.5531 0.132113
58859.1444097 1 18.3231 0.116015
58856.1006944 1 18.2114 0.0841364
58855.1799884 1 18.1129 0.0975644
58854.4913657 1 18.0711 0.0762442
58853.4514815 1 17.9714 0.0442119
58852.4723495 1 17.9356 0.0387954
58851.180706 1 17.7745 0.0774281
58850.4287384 1 17.8435 0.0756238
58849.4770949 1 17.7372 0.0419129
58833.50625 1 18.2179 0.103547
