ZTF19acygjmg 0.055000 Ia
58903.1863079 2 19.8121 0.120997
58903.1740394 2 19.7731 0.14636
58900.2175231 2 19.7061 0.105465
58898.1585995 2 19.6766 0.109096
58892.2800347 2 19.4201 0.134041
58883.1948843 2 19.3705 0.38294
58882.145625 2 19.0132 0.0887992
58880.2048032 2 19.023 0.0960637
58878.1594444 2 18.8732 0.144533
58875.2165278 2 18.7342 0.067385
58873.1938657 2 18.5796 0.0548152
58867.2657755 2 18.4468 0.0510172
58864.2447454 2 18.4319 0.0544496
58863.2212616 2 18.5443 0.203223
58862.3070486 2 18.3632 0.0675946
58861.2083333 2 18.3368 0.077926
58860.2793287 2 18.2824 0.0797798
58860.2340972 2 18.2926 0.0767614
58859.2756134 2 18.2972 0.10188
58859.2525463 2 18.2618 0.0778852
58856.1939468 2 18.137 0.0639408
58854.4469676 2 18.0617 0.079745
58854.1743866 2 17.9603 0.0908714
58833.3344329 2 18.4566 0.0646451
58833.3041204 2 18.4123 0.0981538
58830.3055671 2 19.1913 0.146657
