ZTF19acyiqnw 0.033000 Ia
58963.2626389 1 20.3219 0.214109
58896.2163889 1 19.6251 0.139319
58895.1937384 1 19.4651 0.13033
58894.1995602 1 19.4448 0.0977462
58893.1990278 1 19.3966 0.137157
58891.2035764 1 19.3592 0.1449
58885.3012847 1 19.1734 0.18928
58881.24125 1 19.1851 0.151278
58880.2376389 1 19.2405 0.134556
58876.2386458 1 19.0477 0.0983457
58876.2386458 1 19.0482 0.097255
58874.3708449 1 18.9476 0.0645546
58873.3488542 1 18.8873 0.0695249
58871.4093171 1 18.6325 0.0754775
58866.4060764 1 18.2294 0.0605782
58864.4055903 1 17.9861 0.0774093
58862.4444097 1 17.7652 0.058252
58861.4493287 1 17.6375 0.0806864
58855.4257176 1 17.0825 0.0404058
58853.4840278 1 16.9273 0.031817
58852.5050579 1 16.8356 0.0351521
58851.5103935 1 16.7882 0.0377266
58850.5328356 1 16.7454 0.0261258
58849.5083333 1 16.6867 0.0410336
58838.4678472 1 16.4693 0.0637496
58837.4980671 1 16.5881 0.0377694
58833.523669 1 17.0646 0.0468203
