ZTF19acyiqnw 0.033000 Ia
58896.2748264 2 18.6801 0.0666818
58895.2827778 2 18.6887 0.073039
58894.2638657 2 18.6003 0.077203
58893.3173495 2 18.6442 0.097762
58891.2841319 2 18.5481 0.0857306
58890.4040972 2 18.5369 0.107535
58886.2658681 2 18.3551 0.0944804
58885.2217824 2 18.3723 0.0916983
58881.2983449 2 18.2008 0.0685344
58880.2769213 2 18.233 0.0812979
58879.3232755 2 18.398 0.197022
58878.3268634 2 18.1733 0.111763
58876.2633565 2 18.0084 0.0690805
58875.2373843 2 17.9428 0.071038
58874.2653935 2 17.9274 0.066139
58873.2614583 2 17.7524 0.052583
58872.3309028 2 17.7835 0.119594
58871.323206 2 17.611 0.0513035
58867.3524769 2 17.3909 0.0425713
58866.353206 2 17.391 0.0413649
58864.3328009 2 17.3694 0.051894
58862.3628704 2 17.3731 0.057169
58861.3100463 2 17.4486 0.051207
58860.3661806 2 17.3831 0.051867
58860.3093866 2 17.4019 0.0701626
58859.4304282 2 17.3679 0.0427846
58859.2834606 2 17.4095 0.0698345
58855.321331 2 17.1835 0.0432931
58854.4757292 2 17.2081 0.062357
58852.4465625 2 16.9648 0.0492491
58851.4950347 2 16.9005 0.0341819
58850.4793634 2 16.8622 0.0366392
58838.5142824 2 16.707 0.056675
58836.5107292 2 16.8232 0.0337547
58833.4648611 2 17.1516 0.041784
