ZTF19acymzwh 0.033000 Ia
58941.4264352 2 20.2812 0.208093
58939.425081 2 20.2592 0.300147
58936.405787 2 20.3163 0.245855
58911.4836574 2 19.6345 0.149209
58906.4869097 2 19.3138 0.136904
58903.49625 2 19.3735 0.107521
58898.5119213 2 19.2554 0.092579
58890.4756944 2 18.974 0.233239
58887.5314583 2 18.8828 0.0889625
58884.5473843 2 18.7438 0.104595
58881.5568519 2 18.7175 0.0902165
58878.5545833 2 18.5431 0.0817018
58875.5523264 2 18.4595 0.069818
58872.5539931 2 18.2455 0.0674925
58859.4680324 2 17.6942 0.0572477
58856.5730556 2 17.6431 0.0380638
58853.554919 2 17.6206 0.0471529
58850.5160532 2 17.5479 0.0492729
58846.5720833 2 17.3729 0.0394556
58838.5552315 2 17.0147 0.0682145
58835.493125 2 16.9573 0.0462575
