ZTF19acynije 0.017000 Ia
58891.1576389 1 19.7223 0.224627
58887.1769676 1 19.3796 0.316444
58884.1099537 1 19.0073 0.285235
58882.1215509 1 19.622 0.183296
58881.1398032 1 19.5883 0.186973
58875.1358102 1 19.2718 0.111043
58872.1821181 1 19.1693 0.112392
58867.1410995 1 18.8546 0.204767
58864.1084954 1 18.6922 0.0669201
58862.1278588 1 18.5486 0.076305
58859.0967824 1 18.3166 0.0837407
58856.0952894 1 17.8569 0.04211
58855.1566435 1 17.7388 0.0565098
58853.0952894 1 17.4617 0.0636502
58851.1335995 1 17.1617 0.0555925
58850.1736921 1 16.989 0.0366771
58849.1197917 1 16.9146 0.0319311
58846.1039352 1 16.7471 0.0313817
58837.1409144 1 17.4936 0.0492186
58837.1098843 1 17.5237 0.0409131
58833.1294792 1 19.0892 0.0873965
