ZTF19acytidb 0.031000 Ia
58900.4003472 2 18.8734 0.176304
58898.3409144 2 18.6713 0.101132
58894.4701736 2 18.2845 0.0788277
58886.510081 2 18.1379 0.0878947
58883.5054167 2 18.1102 0.0885675
58880.5180208 2 17.8269 0.0621164
58877.4846181 2 17.5364 0.045618
58871.4868171 2 17.3476 0.0483525
58866.3554051 2 17.2204 0.03791
58863.5452546 2 17.2239 0.0374297
58859.361331 2 17.1255 0.0486134
58855.5381713 2 16.7646 0.0311097
58852.4428472 2 16.6122 0.0350497
58851.4731366 2 16.5421 0.0332353
58849.4512384 2 16.4957 0.0348083
58846.463287 2 16.5561 0.0342194
58833.4774074 2 18.2163 0.113702
