ZTF19aczllns 0.075000 Ia
58894.1183102 2 19.8579 0.16728
58891.1209722 2 19.8794 0.164811
58891.108206 2 19.809 0.163905
58882.134456 2 19.2531 0.185359
58882.1284028 2 19.475 0.198575
58877.1206481 2 19.171 0.104236
58877.1197222 2 19.1884 0.100397
58874.1106366 2 19.2107 0.124358
58871.1062037 2 19.0559 0.0888027
58871.1053009 2 19.0719 0.0938062
58867.1071065 2 19.152 0.118234
58867.0871412 2 19.0243 0.138829
58861.1782176 2 18.7988 0.118659
58860.1805903 2 18.7382 0.125745
58859.1725463 2 18.6287 0.0893505
58859.1489468 2 18.4833 0.0665716
58855.2083681 2 18.4637 0.074887
58854.1294676 2 18.4563 0.109524
58850.1272338 2 18.5064 0.349544
58850.1064583 2 18.2818 0.0948665
58846.1263426 2 18.3435 0.081688
58846.1066204 2 18.3843 0.0802371
58836.0923264 2 19.3265 0.165909
58833.2112963 2 19.8301 0.231039
