ZTF19adafqoe 0.090000 Ia
58882.1442708 2 19.9765 0.214075
58881.2602662 2 19.7855 0.159637
58880.2066204 2 19.6683 0.123285
58875.2189005 2 19.5909 0.173018
58874.2455903 2 19.5386 0.176337
58873.1952894 2 19.6551 0.134404
58872.2886921 2 19.5247 0.132077
58871.2621181 2 19.4505 0.133101
58867.2695602 2 19.5073 0.136717
58864.2191667 2 19.3422 0.12316
58862.3020023 2 19.1418 0.124272
58860.2663079 2 18.8858 0.11983
58855.3288773 2 18.7613 0.128604
58854.4428472 2 18.7842 0.152708
58851.4346528 2 18.7222 0.0886472
58850.449294 2 18.6917 0.146988
58846.2823032 2 18.72 0.0995443
58836.4547454 2 19.9211 0.175412
