ZTF19adajqcq 0.050000 Ia
58914.5284028 2 20.008 0.127265
58913.4978356 2 19.9364 0.238617
58912.4734028 2 20.0402 0.143069
58908.490787 2 19.7499 0.12314
58906.5108681 2 19.6782 0.215077
58904.5284144 2 19.6423 0.117751
58903.5102083 2 19.5634 0.117588
58899.5075579 2 19.4821 0.133923
58898.5156713 2 19.5922 0.134979
58893.5315162 2 19.439 0.139375
58890.4909606 2 19.2882 0.239093
58887.5447917 2 19.0887 0.12895
58884.5446065 2 18.7901 0.113876
58881.5540856 2 18.6381 0.0628471
58878.5527199 2 18.4271 0.0735301
58875.5509491 2 18.4533 0.07514
58872.5681481 2 18.354 0.0548583
58864.5074306 2 18.2323 0.0947014
58861.5472569 2 18.1411 0.0642329
58856.5689236 2 17.7668 0.0480739
58850.5108796 2 17.5778 0.0500163
58836.5153819 2 18.816 0.0838433
