ZTF19adbmewx 0.090000 Ia
58892.1337269 2 19.839 0.173459
58885.132963 2 19.202 0.276111
58881.1251852 2 19.3798 0.145892
58878.1420949 2 19.2224 0.275022
58878.1416435 2 19.1795 0.242107
58875.1090046 2 19.1466 0.104805
58875.0939236 2 19.1969 0.121862
58872.1170602 2 19.1461 0.0993534
58872.1166088 2 19.1295 0.116022
58859.165463 2 18.655 0.0988857
58859.1539352 2 18.5313 0.0943786
58856.1308218 2 18.6121 0.0838013
58856.129919 2 18.6421 0.0731328
58854.1592708 2 18.6142 0.114347
58854.1499306 2 18.6935 0.264744
58853.1427778 2 18.5482 0.143574
58853.1418634 2 18.5737 0.148582
58853.0835648 2 18.6486 0.208962
58850.10875 2 18.5877 0.28137
58846.1120718 2 19.0764 0.090343
58846.1111574 2 19.0785 0.101492
58838.0920949 2 20.4039 0.300222
58837.0878588 2 20.8748 0.335437
