ZTF19adbnlki 0.039000 Ia
58904.1767014 2 19.5769 0.152291
58899.120787 2 19.3948 0.117675
58896.135162 2 19.2819 0.120714
58886.1225231 2 18.6899 0.0957815
58885.1634606 2 18.5138 0.117462
58883.1851273 2 18.4995 0.13297
58880.162662 2 18.3656 0.0774548
58877.1346644 2 18.3399 0.0688793
58874.1404861 2 18.2937 0.0625282
58873.183287 2 18.2718 0.0685581
58867.1207176 2 17.9706 0.0645416
58863.1038194 2 17.72 0.0473515
58861.1578935 2 17.639 0.0450318
58860.1539352 2 17.5731 0.053476
58859.2186458 2 17.5451 0.0690875
58859.1772454 2 17.5713 0.0566198
58856.1550579 2 17.5808 0.0579938
58853.1846991 2 17.5866 0.0654115
58850.1188079 2 17.8076 0.0840461
58849.1763194 2 17.8757 0.0571082
58849.156331 2 17.8556 0.051195
58846.1342014 2 18.327 0.0686114
