ZTF19adbricc 0.090000 Ia
58894.2427315 2 20.3808 0.248717
58892.2860764 2 20.1685 0.270642
58884.2033681 2 19.4458 0.196823
58882.1606829 2 19.3733 0.123836
58881.2683912 2 19.4281 0.11353
58880.2084838 2 19.4654 0.150638
58879.2862963 2 19.3322 0.135486
58878.1866782 2 19.2881 0.177014
58875.2198148 2 19.2109 0.133717
58874.2446528 2 19.2233 0.120316
58873.2140856 2 19.2363 0.0991907
58871.2589352 2 19.1626 0.0987154
58867.2704977 2 19.0383 0.087045
58864.2482986 2 18.8675 0.0824353
58863.2290625 2 18.8557 0.182495
58862.2193171 2 18.6786 0.0781229
58861.1428356 2 18.5741 0.148241
58860.316412 2 18.5431 0.0966474
58860.2654051 2 18.783 0.119821
58856.3178125 2 18.6599 0.10534
58855.3320718 2 18.5654 0.0684668
58852.4309259 2 18.5988 0.0533829
58851.4360532 2 18.7618 0.0942968
58850.4483912 2 18.6597 0.120302
