ZTF19adcdgca 0.046800 Ia
58884.2282176 2 19.4116 0.206565
58883.2794676 2 19.2816 0.179853
58882.1850694 2 19.3755 0.190044
58881.3248727 2 19.3434 0.10217
58880.324375 2 19.1695 0.108643
58879.301412 2 19.0059 0.128464
58878.3068866 2 19.142 0.129972
58877.3081713 2 19.0675 0.139825
58876.3051968 2 19.0904 0.115736
58875.2431597 2 19.0349 0.105361
58874.2966551 2 19.0594 0.0787331
58874.2966551 2 19.0427 0.115761
58873.3006944 2 18.9747 0.118217
58871.3044329 2 18.7978 0.0874948
58867.3640394 2 18.602 0.0794227
58866.3485301 2 18.6149 0.097018
58864.2375 2 18.4142 0.0757596
58862.3250463 2 18.4036 0.0678917
58862.3171412 2 18.2638 0.0760541
58861.331412 2 18.3132 0.101294
58860.3481829 2 18.3134 0.0833612
58860.2848264 2 18.227 0.0950082
58859.3551736 2 18.2322 0.0997994
58859.2770486 2 18.1484 0.100731
58856.2986806 2 18.2671 0.0600126
58855.3441088 2 18.276 0.0841926
58854.4680093 2 18.3971 0.102923
58853.4332292 2 18.4302 0.0772465
58852.4216551 2 18.4866 0.067304
58851.4680787 2 18.5269 0.10593
58851.4489583 2 18.628 0.102529
58850.4746296 2 18.6888 0.0976199
58846.4479051 2 19.4905 0.136724
