ZTF19adcdzjm 0.081100 Ia
58903.380706 2 20.5815 0.19175
58901.3861343 2 20.4557 0.23514
58899.3395949 2 20.346 0.196041
58898.3608681 2 20.6945 0.21526
58894.4720486 2 20.1762 0.187243
58891.5061574 2 19.8854 0.213935
58886.5349306 2 19.5456 0.167975
58883.5173958 2 19.7339 0.285194
58880.5161343 2 19.4226 0.0982354
58877.4860069 2 19.4326 0.108989
58871.5082986 2 19.1872 0.104193
58866.5178588 2 18.9496 0.072641
58860.3736343 2 18.66 0.106702
58859.3631366 2 18.7506 0.157099
58855.5367708 2 18.9254 0.0798294
58852.5439931 2 19.0433 0.09107
58846.4652546 2 19.6956 0.131388
