ZTF20aaaxrad 0.065000 Ia
58881.1816088 1 20.173 0.255337
58879.1797106 1 19.8468 0.187766
58876.224213 1 19.7915 0.144451
58876.224213 1 19.8 0.144213
58867.2147569 1 18.8103 0.0732963
58864.1810648 1 18.6055 0.0696496
58864.1740509 1 18.5821 0.066645
58863.1764699 1 18.5576 0.211202
58862.4338426 1 18.4588 0.119707
58861.1113657 1 18.3823 0.067498
58860.1146412 1 18.3741 0.100587
58859.1416667 1 18.3698 0.116227
58854.4931829 1 18.523 0.0720792
58853.451956 1 18.6706 0.0496905
58852.4686111 1 18.7524 0.0555323
58850.429213 1 19.1789 0.0998894
58849.4737037 1 19.2361 0.0743991
58846.2441551 1 20.5987 0.206241
