ZTF20aaaxrad 0.065000 Ia
58885.1740625 2 18.9796 0.189519
58884.1586921 2 19.1468 0.146244
58883.1982176 2 18.9572 0.170119
58882.1690856 2 19.1942 0.127004
58867.2610069 2 18.5346 0.0759225
58864.2265046 2 18.4643 0.0674546
58863.2217361 2 18.3617 0.217583
58862.3065741 2 18.4158 0.064315
58862.2132292 2 18.4135 0.0587136
58861.1329167 2 18.4828 0.125479
58860.2798032 2 18.3219 0.0667288
58860.2364005 2 18.4603 0.079775
58859.2728704 2 18.404 0.0834669
58859.2428241 2 18.3876 0.083498
58854.1762153 2 18.6853 0.130237
58853.431331 2 18.7079 0.0522989
58851.4309491 2 18.9652 0.0683291
58850.4713542 2 19.2276 0.11966
