ZTF20aabqiti 0.050000 Ia
58936.4767245 1 20.8493 0.293841
58914.443125 1 20.2777 0.350218
58913.5326852 1 20.4685 0.284946
58912.5359144 1 20.6975 0.280117
58908.5376042 1 20.6636 0.307919
58908.5376042 1 20.6636 0.307919
58903.5345023 1 20.5301 0.235929
58899.5362269 1 20.3985 0.195665
58898.5509954 1 20.4548 0.201522
58895.5282407 1 20.0858 0.182396
58894.5500694 1 20.2634 0.260946
58893.4881134 1 19.9708 0.248384
58891.4528125 1 19.6812 0.231294
58883.4873843 1 19.5441 0.244279
58881.5156366 1 19.276 0.117131
58880.4870949 1 19.2562 0.133215
58879.4890278 1 19.0927 0.144727
58878.5339583 1 19.0609 0.152448
58877.5407523 1 19.0471 0.104225
58876.5307523 1 18.8933 0.0917027
58876.5307523 1 18.8953 0.091342
58875.4711574 1 18.7907 0.119235
58873.5537731 1 18.597 0.0679341
58872.4531019 1 18.4992 0.118123
58871.4464468 1 18.3285 0.0902896
58866.5744097 1 17.9017 0.0583709
58864.4675926 1 17.8165 0.0625396
58861.4871644 1 17.6036 0.0765371
58855.5003935 1 17.4534 0.06546
58854.5524653 1 17.6403 0.100355
58853.531794 1 17.5059 0.0510062
58852.53 1 17.5225 0.0522344
58851.5267477 1 17.4729 0.0770621
58850.5375579 1 17.6323 0.0672909
