ZTF20aabqiti 0.050000 Ia
58936.5173611 2 20.345 0.196733
58914.5274653 2 19.6757 0.12659
58913.4602662 2 19.6544 0.168557
58912.4729167 2 19.6944 0.179045
58911.5115741 2 19.597 0.189224
58908.4898611 2 19.6486 0.159464
58908.4898611 2 19.6486 0.159464
58906.5127199 2 19.4773 0.225039
58904.5317245 2 19.4392 0.111366
58903.4615046 2 19.3706 0.119411
58899.4823032 2 19.3172 0.118676
58898.5324769 2 19.1411 0.082897
58894.5340625 2 18.9639 0.0757946
58893.5445255 2 18.9041 0.0828669
58892.5163194 2 18.8057 0.0930509
58890.4904745 2 18.9588 0.23062
58888.5141551 2 18.931 0.235976
58887.5245718 2 18.5418 0.0751828
58886.5534028 2 18.5535 0.0713503
58885.5404398 2 18.5148 0.0948877
58883.5557755 2 18.464 0.0840658
58881.5531597 2 18.3857 0.0824707
58880.5387963 2 18.3438 0.0757802
58879.5370139 2 18.4697 0.125475
58878.5700231 2 18.4569 0.103955
58877.5149653 2 18.3291 0.076008
58876.5555208 2 18.3406 0.0598151
58875.5470833 2 18.3278 0.085148
58873.5142477 2 18.2999 0.0589489
58872.5671875 2 18.2361 0.0687156
58871.5311921 2 18.2143 0.0740021
58866.5330208 2 17.8885 0.0525661
58864.5148611 2 17.7772 0.0525459
58859.491412 2 17.6007 0.0562809
58854.5765394 2 17.6632 0.07388
58852.5585417 2 17.6929 0.0521527
58850.5118056 2 17.799 0.0732485
