ZTF20aabqwtz 0.023000 II
58987.3508565 2 20.0581 0.150382
58986.4718171 2 19.9888 0.139548
58985.3927083 2 20.008 0.135633
58981.408831 2 19.8961 0.200986
58980.4650694 2 19.8943 0.180683
58979.3431019 2 20.0637 0.272681
58978.3010069 2 19.9727 0.263224
58977.4426852 2 19.9037 0.307792
58976.3498958 2 20.1488 0.354321
58975.4465509 2 19.7975 0.222891
58974.3217593 2 19.9614 0.222336
58973.3232755 2 19.8575 0.169119
58972.4229282 2 19.9149 0.138525
58971.412581 2 19.939 0.133172
58970.4032176 2 19.9455 0.12883
58968.3999537 2 19.8808 0.128426
58967.408588 2 19.8374 0.157833
58966.4645255 2 19.8451 0.134579
58965.4463657 2 19.8639 0.12361
58964.4171181 2 19.7945 0.115673
58962.4744097 2 19.9028 0.16954
58961.4476157 2 19.7402 0.153113
58956.3243403 2 19.6119 0.145418
58955.4541435 2 19.5925 0.128927
58954.4927083 2 19.5303 0.136554
58944.5101968 2 19.1908 0.107492
58943.4727431 2 19.1043 0.0944527
58940.5137616 2 19.1819 0.13418
58936.5182986 2 19.0736 0.111217
58914.5475579 2 18.6178 0.0760487
58913.4959722 2 18.5795 0.0712543
58912.4944792 2 18.561 0.0875273
58911.4933565 2 18.5544 0.108319
58908.4893519 2 18.5317 0.0903371
58908.4893519 2 18.5317 0.090337
58903.5121528 2 18.5631 0.067382
58900.4882292 2 18.5533 0.0806861
58899.4813542 2 18.5138 0.068858
58898.5306481 2 18.4774 0.0657201
58895.4883102 2 18.4484 0.0765748
58894.5381134 2 18.4191 0.067129
58893.5459144 2 18.4238 0.0684439
58892.5319329 2 18.4402 0.0744759
58890.4895255 2 18.6392 0.197771
58888.515081 2 18.3723 0.139486
58887.5476273 2 18.4156 0.0644067
58886.5556829 2 18.375 0.0666506
58885.5458449 2 18.3838 0.0739657
58881.5512616 2 18.3209 0.0779808
58880.5368981 2 18.2961 0.0630664
58878.5723495 2 18.3273 0.0899958
58877.5168056 2 18.3401 0.064375
58876.5564583 2 18.3141 0.0718765
58875.5456944 2 18.2905 0.074282
58873.5323032 2 18.2156 0.0560049
58866.5349074 2 18.2156 0.0692314
58854.5751505 2 18.1037 0.096849
58852.5599306 2 18.0555 0.0580655
