ZTF20aacbtgq 0.062900 Ia
58912.2627199 1 20.6483 0.354084
58906.3032986 1 20.6681 0.240436
58903.3320139 1 20.2378 0.204549
58903.3163426 1 20.4011 0.176686
58899.3625231 1 20.174 0.164384
58895.2388773 1 19.77 0.135247
58894.324919 1 19.7016 0.0988198
58893.2218981 1 19.6888 0.105568
58893.2209491 1 19.6412 0.112535
58892.1756944 1 19.4933 0.123962
58891.2195023 1 19.5068 0.16977
58890.2656944 1 19.477 0.199328
58888.2596412 1 19.1096 0.222298
58886.2434722 1 19.1834 0.171573
58886.2425694 1 18.9877 0.138403
58885.2854861 1 19.0508 0.186467
58884.2807292 1 18.9985 0.159775
58883.4521528 1 18.8629 0.119061
58883.4466088 1 18.8738 0.105127
58881.4481597 1 18.7136 0.0860177
58880.4314931 1 18.6309 0.0669035
58880.4305324 1 18.6119 0.0772329
58879.2607292 1 18.5728 0.102612
58878.391331 1 18.3958 0.0682812
58877.3856597 1 18.4015 0.056526
58877.3847685 1 18.3917 0.062547
58876.3878356 1 18.2874 0.0481644
58876.3878356 1 18.3559 0.050131
58875.4279514 1 18.2785 0.059779
58874.3884375 1 18.3073 0.0810365
58874.3875347 1 18.0602 0.0625023
58873.3693634 1 18.1594 0.0483515
58871.4150579 1 18.0808 0.0514182
58871.4141551 1 18.0671 0.055039
58867.4063194 1 17.9777 0.0595366
58864.4233102 1 17.9832 0.0643832
58861.4557639 1 18.0906 0.0838129
58855.5146412 1 19.0483 0.104441
58854.5338889 1 19.223 0.217813
58852.5111574 1 20.076 0.185803
58849.5184144 1 21.296 0.337643
