ZTF20aadcdzj 0.100000 Ia
58881.4851736 1 20.0126 0.190528
58880.4894329 1 19.8608 0.199098
58879.490081 1 19.8649 0.283843
58878.5301042 1 19.6803 0.191245
58877.5511574 1 19.5252 0.176315
58876.5297569 1 19.6347 0.112194
58876.5297569 1 19.6415 0.111973
58875.4700926 1 19.3773 0.140598
58874.3958449 1 19.3842 0.153257
58873.3849653 1 19.3583 0.118887
58871.4680787 1 19.05 0.147244
58867.4533681 1 19.0442 0.116654
58866.5738773 1 19.0725 0.118372
58864.4453588 1 18.9354 0.0975051
58863.4161227 1 18.8749 0.110342
58862.4899769 1 18.8753 0.123982
58861.4673611 1 19.1186 0.264032
58859.5489583 1 19.0072 0.190489
58855.4307986 1 19.0206 0.141727
58854.5246528 1 19.3211 0.264438
58853.5312616 1 19.3492 0.119202
58852.5314005 1 19.4769 0.132126
58851.5256829 1 19.4491 0.217186
58850.537037 1 19.9334 0.239982
