ZTF20aadvbni 0.106000 Ia
58880.2048032 2 20.209 0.21076
58875.2165278 2 19.8734 0.141017
58874.2497338 2 19.7826 0.19536
58873.1943403 2 19.7765 0.179858
58873.1938657 2 19.904 0.146585
58867.2657755 2 19.6526 0.123052
58867.2605556 2 19.7429 0.196181
58864.2447454 2 19.576 0.105702
58864.2225231 2 19.656 0.136982
58862.3070486 2 19.6199 0.175554
58862.3061227 2 19.5891 0.15178
58862.2143287 2 19.6076 0.150432
58861.1333681 2 19.6121 0.356439
58860.2793287 2 19.7176 0.233751
58860.2420255 2 19.625 0.273488
58859.2530208 2 19.5605 0.17415
58856.1944329 2 20.3296 0.390277
58856.1939468 2 20.1555 0.293619
58855.3269097 2 20.0722 0.278983
