ZTF20aadyukn 0.060000 Ia
58893.2432755 1 20.1431 0.248905
58884.2802662 1 19.3955 0.219291
58883.4512153 1 19.5561 0.132255
58881.4563889 1 19.4939 0.159765
58881.4545833 1 19.4608 0.12665
58880.4491667 1 19.4395 0.152165
58879.2473843 1 19.0663 0.200092
58878.3931713 1 19.2079 0.134137
58878.3908681 1 19.2537 0.160854
58877.3837616 1 19.0829 0.108895
58876.2409375 1 19.0987 0.100314
58876.2409375 1 19.11 0.100565
58875.4293171 1 19.052 0.108793
58875.4284144 1 19.0857 0.125921
58874.3847917 1 18.7776 0.154532
58873.3688889 1 18.913 0.0800487
58872.2401389 1 18.8942 0.106085
58872.2391551 1 18.8298 0.0930183
58871.4079051 1 18.7754 0.0951039
58866.4110532 1 18.7069 0.0759431
58855.4968981 1 19.6857 0.177171
