ZTF20aaeipdz 0.051000 Ia
58898.5255787 2 20.2397 0.19432
58894.5394792 2 20.0245 0.270588
58894.5390278 2 19.6633 0.157402
58886.5565972 2 19.5035 0.193148
58885.544919 2 19.7753 0.158589
58881.5503472 2 19.4508 0.140534
58880.5359838 2 19.3715 0.16581
58878.5732639 2 19.3618 0.202367
58877.5186921 2 19.4508 0.186766
58876.5722917 2 19.3864 0.156231
58876.5718403 2 19.3157 0.146067
58873.5332407 2 19.2807 0.137884
58873.5327894 2 19.2558 0.116146
58866.5358218 2 18.8358 0.0966159
58854.5737731 2 18.239 0.161223
58854.5733218 2 18.439 0.165175
