ZTF20aaekbdr 0.045800 II
58912.2111111 2 20.0386 0.212423
58912.2079282 2 19.8767 0.232761
58906.2115741 2 19.8358 0.206825
58905.2285069 2 19.8305 0.17723
58903.2114005 2 19.8177 0.150081
58900.248125 2 20.0517 0.160704
58899.3077315 2 19.8182 0.151098
58899.253044 2 19.8385 0.167363
58896.2538889 2 19.8759 0.158594
58893.273125 2 19.7019 0.150775
58892.2910764 2 19.6329 0.264365
58892.2683102 2 19.7618 0.208427
58891.2757407 2 19.5666 0.20117
58891.2692824 2 19.7349 0.185765
58890.1905556 2 19.4971 0.307192
58884.2503704 2 19.3922 0.237758
58884.2152083 2 19.2842 0.225129
58883.2276389 2 19.2183 0.218933
58883.224456 2 19.3613 0.203594
58882.2035301 2 19.5676 0.157363
58881.2661458 2 19.3879 0.123848
58880.2903935 2 19.4939 0.126681
58880.2089931 2 19.4255 0.164374
58879.2917245 2 19.5046 0.204398
58874.3132292 2 19.3691 0.108873
58873.2480208 2 19.3132 0.119718
58871.2986111 2 19.4186 0.120189
58871.2933218 2 19.3534 0.132935
58867.3422222 2 19.2933 0.124495
58864.2329282 2 19.2861 0.11656
58861.3155556 2 19.191 0.233999
58855.3350926 2 19.6392 0.209734
