ZTF20aaelulu 0.005000 Ic
58967.2270486 1 18.6075 0.102947
58965.2322917 1 18.4565 0.100847
58963.3117477 1 18.6001 0.091855
58962.2329745 1 18.4386 0.0767156
58955.300162 1 18.3076 0.070435
58954.2980671 1 18.2838 0.066677
58940.3939815 1 17.759 0.0676766
58939.3376852 1 17.8733 0.0689821
58936.2897685 1 17.69 0.050508
58915.4444676 1 17.1791 0.0417395
58914.4247454 1 17.2442 0.0462347
58913.3308912 1 17.1021 0.0422992
58911.3993866 1 17.1651 0.0436337
58908.3409259 1 17.0354 0.0492077
58908.3409259 1 17.0354 0.049208
58906.333831 1 16.945 0.038373
58905.3073958 1 16.9622 0.0433761
58904.4588079 1 16.9724 0.049048
58903.3568634 1 16.9246 0.0363889
58899.4001157 1 16.9161 0.037115
58898.4194907 1 16.8931 0.035775
58895.3840741 1 16.816 0.0278922
58892.3809144 1 16.7659 0.035484
58887.4257755 1 16.6082 0.0432184
58884.4423032 1 16.4908 0.032913
58881.4614583 1 16.326 0.025512
58878.4865509 1 16.0394 0.0244349
58875.4569907 1 15.676 0.02483
58871.4426852 1 15.0303 0.0241408
58867.4403356 1 14.3003 0.0303832
58859.5222801 1 14.9162 0.0281321
