ZTF20aaelulu 0.005000 Ic
58965.2866898 2 18.513 0.0743992
58955.2677546 2 18.1331 0.064345
58954.2587963 2 18.1137 0.079422
58936.4128819 2 17.5937 0.0577791
58915.4036574 2 16.8947 0.0464957
58913.4453356 2 16.8236 0.046046
58912.4466898 2 16.809 0.0460512
58911.4463657 2 16.7209 0.0392364
58908.4496528 2 16.6377 0.0415004
58908.4496528 2 16.6377 0.0415
58906.4459259 2 16.5989 0.042522
58904.4705556 2 16.4975 0.027918
58901.4189005 2 16.4276 0.056252
58900.4375231 2 16.3927 0.048589
58899.4410069 2 16.3805 0.032144
58898.3738773 2 16.3014 0.034998
58895.4424537 2 16.1823 0.0343423
58892.3168866 2 16.089 0.0316443
58887.5159144 2 15.8365 0.0290363
58884.5162384 2 15.6298 0.0267467
58881.5386574 2 15.3912 0.0331396
58878.3605093 2 15.0566 0.0234041
58875.5210764 2 14.6767 0.024886
58871.5022338 2 14.17 0.0345124
58867.4815625 2 13.8596 0.0203538
58859.48125 2 14.7687 0.0329304
58855.5422917 2 17.2799 0.0561971
