ZTF20aaemtgw 0.031570 Ia
58970.3964931 2 20.909 0.320556
58968.378125 2 20.5009 0.208556
58967.3779745 2 20.5768 0.2452
58966.3790972 2 20.7235 0.224013
58965.3492593 2 20.4177 0.259033
58962.3312153 2 20.2955 0.217283
58956.3506829 2 20.2759 0.288736
58953.4410069 2 20.2225 0.212876
58943.4620602 2 19.8165 0.163438
58939.4325926 2 19.6008 0.272305
58936.4416667 2 19.6777 0.136667
58914.5409954 2 18.9571 0.0767263
58911.496331 2 18.8041 0.12656
58906.5197338 2 18.556 0.143875
58898.5392014 2 18.147 0.081514
58893.5243634 2 17.7915 0.061717
58890.4821528 2 17.6122 0.0848298
58886.5617245 2 17.5931 0.0617264
58883.5598958 2 17.5737 0.068933
58879.5437616 2 17.3461 0.053005
58876.5614352 2 17.0819 0.0441681
58873.538669 2 16.8874 0.0433813
