ZTF20aaesewy 0.031789 Ia
58913.1242361 1 19.7963 0.223832
58904.1357986 1 19.6577 0.137019
58899.1505556 1 19.359 0.127017
58896.1861574 1 19.0575 0.0968508
58893.1701852 1 18.7653 0.0825652
58887.1684144 1 18.1852 0.0946187
58884.1243171 1 17.8059 0.0759087
58880.1299421 1 17.5132 0.0408752
58877.1705556 1 17.3405 0.0407027
58876.15625 1 17.2813 0.0357878
58876.15625 1 17.2767 0.035831
58874.1712847 1 17.2186 0.0368374
58871.1716898 1 17.1982 0.0380469
58867.2067477 1 17.3059 0.0489171
58867.1471065 1 17.3315 0.0798228
58862.1479051 1 17.9738 0.054252
58861.1024306 1 18.1788 0.0651986
58859.1095602 1 18.9216 0.134092
