ZTF20aaetrle 0.020000 II
58903.1397569 1 20.7184 0.239809
58899.1662616 1 20.613 0.217802
58896.1738194 1 20.4424 0.21405
58893.1782639 1 20.2441 0.167011
58890.2261343 1 19.3408 0.235083
58887.1991782 1 19.8842 0.268826
58886.1707407 1 19.6845 0.212381
58880.1406481 1 19.2346 0.122553
58879.137662 1 18.9838 0.145618
58878.2184606 1 19.0548 0.141981
58877.2020602 1 18.962 0.0820882
58876.1515972 1 18.8236 0.0828041
58876.1515972 1 18.8227 0.081849
58874.1866551 1 18.6296 0.0997736
58873.1429051 1 18.6125 0.0626342
58872.2075463 1 18.5744 0.0681349
58871.2027083 1 18.6167 0.0646088
58867.1751968 1 18.8327 0.210664
58867.1747454 1 18.8963 0.265654
58864.1190856 1 19.1475 0.103737
58863.1403241 1 19.2399 0.088114
58863.1296296 1 19.3221 0.0997369
58859.1137847 1 19.6329 0.243986
