ZTF20aaevbvv 0.060000 Ia
58906.2626505 1 20.5185 0.271462
58906.2621991 1 20.3011 0.225279
58906.1449884 1 20.1303 0.205101
58904.1587037 1 20.1948 0.198423
58903.2429282 1 20.2212 0.202379
58903.2424653 1 20.1863 0.175093
58899.224294 1 19.9282 0.165252
58899.223831 1 19.8715 0.173212
58898.2699537 1 19.8442 0.135622
58898.2360532 1 19.9278 0.12717
58898.2004282 1 19.8748 0.126276
58895.1999306 1 19.6589 0.105178
58895.1580093 1 19.5581 0.115904
58890.3068056 1 19.0867 0.1702
58881.1865509 1 18.3535 0.0699622
58881.1619444 1 18.3619 0.065789
58879.1720486 1 18.2001 0.064236
58879.170706 1 18.1995 0.092209
58876.1947801 1 18.1553 0.031663
58876.1947801 1 18.0821 0.056453
58876.1801042 1 18.0454 0.0669844
58876.1801042 1 18.044 0.066918
58867.2129514 1 17.8927 0.0503171
58867.2125 1 17.8775 0.0540482
58864.1948843 1 18.0434 0.049391
58864.1939468 1 18.0515 0.0540382
58864.1614815 1 18.0756 0.0694666
58863.1847222 1 17.9465 0.262383
58862.4292245 1 18.1032 0.133813
58861.1190741 1 18.3098 0.0754173
58861.1140741 1 18.3175 0.0878041
58860.1128356 1 18.5425 0.186128
58859.5105208 1 18.8014 0.224282
58854.4872454 1 20.1263 0.455503
58853.4552662 1 21.0792 0.32739
