ZTF20aafcgca 0.080000 Ia
58903.265706 1 20.9673 0.317328
58900.3053241 1 20.3701 0.262803
58898.2685185 1 20.8078 0.258177
58898.2653356 1 20.4414 0.187975
58898.2265394 1 20.4733 0.224381
58898.2087616 1 20.6613 0.268887
58886.2087153 1 19.169 0.199727
58886.2043287 1 19.0893 0.19214
58881.1989931 1 18.8177 0.115756
58881.1843056 1 18.9576 0.118297
58879.1904861 1 18.7637 0.12494
58879.1770255 1 18.8481 0.0968781
58878.2271759 1 18.823 0.168019
58876.2205671 1 18.606 0.0700453
58876.2205671 1 18.608 0.070667
58876.1974769 1 18.6339 0.0779602
58876.1974769 1 18.6318 0.078201
58867.4015972 1 18.5472 0.0760825
58867.3924537 1 18.6034 0.071006
58864.2015509 1 18.7481 0.0995768
58864.196713 1 18.8445 0.100186
58862.4324769 1 19.0088 0.197452
58862.4320139 1 18.9008 0.157722
58861.350081 1 19.152 0.192424
58861.1122685 1 19.5136 0.250946
