ZTF20aafcgca 0.080000 Ia
58912.1964583 2 20.0775 0.208449
58909.33125 2 19.8448 0.19182
58906.2275116 2 19.8173 0.172949
58906.1988773 2 19.9304 0.179701
58903.2035185 2 19.8182 0.154989
58903.1951389 2 19.6018 0.134084
58903.1844329 2 19.7169 0.138491
58900.2156944 2 19.5498 0.132684
58900.1924537 2 19.5978 0.127668
58899.3127778 2 19.49 0.107946
58899.311875 2 19.5959 0.132188
58898.304537 2 19.4211 0.132149
58898.1511343 2 19.5174 0.100996
58892.2791088 2 19.306 0.108366
58892.2777199 2 19.3325 0.119391
58885.1842477 2 19.2423 0.275143
58884.1788773 2 19.0142 0.208361
58884.1761343 2 19.0109 0.30445
58882.1723032 2 18.8948 0.142098
58882.1597454 2 18.9147 0.111365
58878.1853356 2 18.7 0.150343
58873.2285764 2 18.5251 0.068141
58873.1947917 2 18.5932 0.0685696
58871.2698495 2 18.6311 0.0841904
58871.2689468 2 18.643 0.0821409
58867.3482176 2 18.6965 0.077021
58867.2676389 2 18.714 0.086624
58866.3498958 2 18.7641 0.0805405
58866.3489931 2 18.749 0.07906
58864.2384259 2 18.9276 0.0782341
58864.2206134 2 18.9861 0.0979111
58862.3205208 2 19.0705 0.113658
58862.314375 2 19.1454 0.12338
58862.3047222 2 19.209 0.125395
58862.2147801 2 19.1878 0.12205
58861.3053472 2 19.3395 0.166169
58861.1352083 2 19.2601 0.299655
58860.3144444 2 19.8486 0.306778
58860.2708333 2 19.5283 0.253295
58860.249375 2 19.6604 0.316481
58859.2942014 2 19.7545 0.265422
