ZTF20aafcjln 0.020300 Ia
58986.2550926 2 19.5545 0.146339
58978.2497801 2 19.2559 0.138405
58975.2020833 2 19.238 0.207287
58971.2100926 2 19.2188 0.111306
58968.2027199 2 18.9323 0.106824
58965.288044 2 18.9316 0.0934923
58962.2793866 2 18.7914 0.0902284
58954.2557986 2 18.5632 0.0945357
58914.3764583 2 17.1454 0.0396815
58911.449537 2 17.0123 0.0445847
58901.3819792 2 16.5774 0.0407334
58894.4618171 2 16.5216 0.0345631
58886.5073148 2 16.1924 0.0385065
58883.5408333 2 15.9857 0.0256921
58876.3504398 2 15.6618 0.0314307
58873.5055324 2 15.6959 0.0297242
