ZTF20aafckit 0.031000 II
58936.4683681 1 20.2643 0.192827
58914.4847222 1 19.5915 0.211084
58914.4837616 1 19.4336 0.16178
58911.5547338 1 19.5256 0.189603
58911.539294 1 19.4648 0.124525
58911.5254514 1 19.4429 0.197678
58906.5251968 1 19.2533 0.135526
58906.5242477 1 19.3983 0.186414
58903.5274537 1 19.2427 0.099468
58903.5265046 1 19.2424 0.119104
58898.5611343 1 19.0967 0.098162
58893.4988194 1 18.8186 0.10895
58893.4807407 1 18.8503 0.105021
58890.5468287 1 18.7765 0.187337
58890.5458796 1 18.4797 0.138445
58886.4982755 1 18.6418 0.0974838
58884.4672222 1 18.4104 0.0984066
58883.4837269 1 18.4019 0.117714
58881.5198264 1 18.3486 0.0794942
58879.518588 1 18.248 0.0783133
58878.5390972 1 18.2198 0.0903606
58876.5394329 1 18.1356 0.0579276
58876.5394329 1 18.1359 0.057455
58875.4846181 1 18.0625 0.078561
58873.5500579 1 18.017 0.0553092
58872.4493403 1 17.9952 0.084496
58864.4648843 1 17.926 0.0669728
58864.4644329 1 17.9784 0.0975822
58861.5076273 1 17.9532 0.0980093
58861.4909375 1 18.0602 0.123309
