ZTF20aafclqz 0.033500 II
58914.4953819 1 20.079 0.258693
58911.5304167 1 19.7766 0.226973
58906.5261343 1 19.711 0.196976
58903.5283912 1 19.7042 0.137405
58898.5583681 1 19.5531 0.130753
58893.4825579 1 19.3115 0.154167
58890.5486574 1 19.0923 0.187008
58887.4642824 1 19.1521 0.169731
58884.422662 1 18.9143 0.194518
58881.5193634 1 18.7755 0.0776887
58878.5386343 1 18.6696 0.0897444
58875.4860069 1 18.4545 0.093242
58872.4498032 1 18.5315 0.101574
58864.465787 1 18.1412 0.0798944
58861.5152083 1 18.0567 0.0856263
