ZTF20aafclxb 0.008700 II
58986.1924769 1 19.8864 0.141161
58978.1911111 1 19.8702 0.21481
58966.2306597 1 19.7606 0.159298
58963.2102083 1 19.684 0.117054
58941.2699653 1 19.2086 0.12439
58914.4206481 1 17.8692 0.0933878
58911.3758912 1 17.8337 0.0835928
58908.3355093 1 17.7906 0.0614456
58905.3123958 1 17.8442 0.0765348
58899.3762731 1 17.8224 0.063643
58887.4226157 1 17.6407 0.0681358
58883.4593519 1 17.4199 0.0550431
58879.4625 1 17.3048 0.052647
58876.3957407 1 17.1828 0.039049
58873.3984722 1 17.0898 0.0411149
