ZTF20aafgbrf 0.030000 Ia
58909.1265625 2 18.5617 0.120188
58909.1122222 2 18.5783 0.115006
58906.1713657 2 18.4318 0.091879
58903.169375 2 18.3429 0.0599844
58900.1805903 2 18.3102 0.0676853
58899.1403356 2 18.2918 0.065986
58898.1352199 2 18.2954 0.061323
58896.1482523 2 18.2529 0.0579313
58890.2045139 2 18.1706 0.076555
58890.1637616 2 18.0622 0.0631809
58887.1631713 2 17.9138 0.0784066
58882.1424653 2 17.6249 0.0575224
58880.2269097 2 17.5216 0.0462271
58878.1612847 2 17.5195 0.082819
58877.2563889 2 17.4877 0.0416479
58875.2234838 2 17.5525 0.042897
58874.2145602 2 17.5987 0.0681625
58873.1741435 2 17.6063 0.0523107
58871.2462037 2 17.6948 0.0510881
58867.2491435 2 18.0527 0.0610758
58863.2150347 2 18.854 0.323764
58862.3531481 2 19.4181 0.136332
