ZTF20aafjjqj 0.040000 Ia
58903.2670602 1 19.7832 0.136846
58900.3039583 1 19.3782 0.131228
58899.2016551 1 19.2444 0.11719
58898.2283681 1 19.1723 0.099254
58896.2202662 1 19.0349 0.0960892
58896.2193287 1 18.9511 0.0891829
58895.2223032 1 18.8428 0.0832015
58894.1951968 1 18.7717 0.102994
58893.2163426 1 18.6333 0.0791629
58893.2154398 1 18.6495 0.085915
58892.170081 1 18.5463 0.0690507
58891.1720255 1 18.5095 0.0656871
58890.2666782 1 18.3766 0.102367
58890.261169 1 18.2497 0.102942
58888.2643866 1 18.0742 0.0931032
58886.2360417 1 17.9691 0.073996
58886.2351389 1 17.9515 0.066239
58885.2784259 1 17.8017 0.0698058
58884.2892014 1 17.802 0.0605426
58883.4075926 1 17.7444 0.0591678
58883.4057523 1 17.7808 0.0637191
58881.2365625 1 17.61 0.0482174
58880.2668171 1 17.5206 0.0560279
58880.2565278 1 17.5395 0.053204
58879.2555324 1 17.5532 0.0614542
58879.1931944 1 17.522 0.0634731
58878.26875 1 17.4626 0.0610686
58877.2384838 1 17.425 0.0378459
58877.2248032 1 17.4472 0.044145
58876.2344676 1 17.4193 0.056297
58875.3237384 1 17.4289 0.047332
58874.344375 1 17.3893 0.0541668
58874.3434722 1 17.429 0.0357851
58873.3451157 1 17.4302 0.0383011
58872.2137037 1 17.439 0.0454848
58871.2261921 1 17.5007 0.0430596
58871.2177431 1 17.4803 0.0434452
58866.408206 1 18.0108 0.0590379
