ZTF20aafjjqj 0.040000 Ia
58912.2194097 2 18.8034 0.120415
58909.333125 2 18.6308 0.0907856
58906.2184375 2 18.4951 0.084213
58903.2062847 2 18.3333 0.117286
58899.3114236 2 18.1069 0.075329
58899.2598958 2 18.1654 0.083058
58896.2823843 2 18.1043 0.0691136
58896.2786574 2 18.1735 0.0701452
58895.2870949 2 18.1516 0.062304
58894.2208218 2 18.1308 0.0785752
58893.2856597 2 18.0531 0.0655867
58893.2847569 2 18.0643 0.0766977
58892.2574653 2 18.052 0.0703883
58891.288831 2 18.0592 0.0774281
58890.1810185 2 18.019 0.0998924
58890.179213 2 18.0599 0.103665
58887.4875926 2 17.8956 0.127649
58886.2706481 2 17.7892 0.07534
58886.2568403 2 17.7923 0.0852645
58885.1934491 2 17.6435 0.0973472
58884.1979745 2 17.6076 0.0691661
58884.1784259 2 17.542 0.0723725
58883.2592708 2 17.5791 0.0663358
58883.2369213 2 17.5415 0.0646065
58882.1718519 2 17.5073 0.0522307
58881.3253588 2 17.4762 0.0545447
58880.3234606 2 17.4069 0.0468432
58880.3216667 2 17.4145 0.0535632
58879.317963 2 17.3268 0.0569688
58878.3311921 2 17.3863 0.0362832
58877.2864468 2 17.4459 0.047204
58877.2802778 2 17.3838 0.040194
58876.2877431 2 17.3555 0.0472432
58875.2631019 2 17.3316 0.049536
58874.2766551 2 17.3553 0.048509
58874.2757523 2 17.3458 0.0495701
58873.2594792 2 17.3919 0.0473556
58873.228125 2 17.3961 0.056032
58872.2872454 2 17.1273 0.0720367
58871.2834028 2 17.4604 0.0425055
58871.2811921 2 17.4441 0.050504
58871.2675694 2 17.4678 0.0425429
58862.3304977 2 18.9476 0.142038
