ZTF20aaflaug 0.050650 Ia
58894.3304514 1 20.885 0.352404
58884.4566782 1 20.3317 0.252213
58884.4557755 1 20.3498 0.308063
58883.4480093 1 20.2431 0.286561
58881.4527546 1 20.2404 0.151723
58881.4508796 1 19.9184 0.168204
58880.4519097 1 20.064 0.175164
58879.495625 1 19.688 0.187491
58878.4948727 1 19.6485 0.165057
58878.4939699 1 19.5427 0.133338
58877.5315856 1 19.4105 0.124593
58876.5091088 1 19.3314 0.0874269
58876.5091088 1 19.3431 0.087691
58873.3643171 1 18.9781 0.127161
58872.4281597 1 18.9248 0.0962896
58871.4539352 1 18.8353 0.10109
58871.4525579 1 18.8047 0.096264
58866.4129398 1 19.1184 0.111741
58862.4426157 1 20.0001 0.318616
