ZTF20aaflaug 0.050650 Ia
58901.3920139 2 20.3086 0.158796
58900.4073843 2 20.4156 0.250148
58899.345162 2 20.5841 0.270455
58898.3650694 2 20.517 0.195774
58895.4526157 2 20.1057 0.17758
58894.4766782 2 20.1761 0.184202
58893.3010301 2 19.9787 0.194446
58893.3001273 2 19.9227 0.155868
58892.3238426 2 19.8185 0.211505
58891.4898032 2 19.8587 0.232052
58890.430162 2 19.6067 0.273963
58886.5128125 2 19.278 0.127216
58885.5107639 2 19.2599 0.142205
58884.5098032 2 19.0632 0.154777
58884.5070255 2 19.1743 0.163476
58883.5090856 2 19.1095 0.141545
58881.3616435 2 18.9277 0.109282
58881.3443403 2 18.9874 0.0996165
58880.5124421 2 18.9458 0.094854
58879.3426273 2 18.8922 0.127357
58878.3459606 2 18.7575 0.102692
58878.3450694 2 18.807 0.0923523
58877.4884259 2 18.7418 0.085782
58876.329537 2 18.6457 0.072604
58875.5151273 2 18.6151 0.081322
58875.5142245 2 18.659 0.078535
58873.5099074 2 18.5895 0.0793728
58871.5133565 2 18.6558 0.0863753
58871.5124537 2 18.6605 0.0916159
58866.5192708 2 19.0676 0.102771
58862.3816551 2 19.946 0.271537
