ZTF20aafrihv 0.064000 Ia
58954.2171296 2 20.1755 0.1791
58939.2165046 2 19.8144 0.192068
58939.1553241 2 20.0136 0.238261
58915.3702546 2 18.9399 0.120198
58913.2027662 2 18.8304 0.126647
58912.205463 2 18.7523 0.0945182
58909.3275 2 18.6999 0.0917015
58906.2203009 2 18.669 0.106666
58903.2207523 2 18.6361 0.0700236
58900.2345139 2 18.5882 0.0902746
58899.2924074 2 18.5395 0.071209
58899.2745718 2 18.5857 0.078209
58896.2781481 2 18.5273 0.0756863
58896.2772338 2 18.4844 0.0888605
58895.2889468 2 18.4895 0.0909024
58894.2618634 2 18.3786 0.0646218
58893.2833912 2 18.3355 0.0682378
58893.2824421 2 18.3832 0.070441
58892.2560995 2 18.3051 0.0653397
58892.2485301 2 18.2702 0.0677433
58891.2983796 2 18.1881 0.056268
58890.4232755 2 18.1414 0.128896
58890.4205324 2 18.179 0.0926025
58886.2781944 2 17.8795 0.0578527
58886.2772917 2 17.9344 0.057635
58885.2176157 2 17.8944 0.0879564
58884.2426505 2 17.899 0.0777536
58884.2070255 2 17.8864 0.0695764
58883.2828704 2 17.798 0.0678806
58883.2819213 2 17.8317 0.060997
58882.2084838 2 17.7999 0.0671594
58881.3495255 2 17.7897 0.0493282
58880.299537 2 17.7949 0.0558856
58880.2972338 2 17.7871 0.057466
58879.3266551 2 17.8797 0.0764419
58878.3010648 2 17.8093 0.0514314
58877.3109144 2 17.8672 0.057007
58877.3090856 2 17.8494 0.055456
58876.3047222 2 17.8561 0.0528512
58875.3053472 2 17.8979 0.064563
58874.2971296 2 17.9679 0.0467586
58874.2952083 2 17.9485 0.055478
58873.3248727 2 18.0066 0.057572
58871.3194097 2 18.1061 0.0590111
58871.3184722 2 18.1276 0.0625873
58871.2915394 2 18.1487 0.0653718
58866.3600116 2 18.8527 0.084935
58863.3446181 2 19.8917 0.171358
58862.3731944 2 20.1242 0.320904
