ZTF20aafrjqw 0.088227 Ia
58912.4153125 2 19.7886 0.196582
58909.316169 2 19.5949 0.131353
58905.2331944 2 19.5674 0.164027
58904.2337963 2 19.3215 0.109691
58903.3951968 2 19.4737 0.114668
58901.3744676 2 19.2832 0.0920345
58900.2563773 2 19.2326 0.090582
58899.3179167 2 19.2811 0.09542
58899.2986574 2 19.1383 0.115437
58898.3372222 2 19.2337 0.098291
58894.2890278 2 19.1849 0.104154
58886.2736806 2 18.8348 0.105904
58883.2743287 2 18.7204 0.100924
58880.3378125 2 18.5603 0.09024
58877.3392477 2 18.3738 0.085275
58874.3317708 2 18.4158 0.0553075
58871.4895602 2 18.3392 0.0610961
58866.369919 2 18.5239 0.0725236
58863.3503819 2 18.7682 0.100834
58860.395706 2 19.2591 0.277086
58859.3038194 2 19.5147 0.216793
58855.5234028 2 20.4464 0.229731
