ZTF20aafvzhu 0.050000 Ia
58900.1401736 1 19.6772 0.269983
58894.1514815 1 19.1251 0.0991633
58894.1510301 1 19.0517 0.133841
58891.1630903 1 18.7526 0.118218
58885.1201157 1 18.0699 0.0839358
58885.119213 1 18.0702 0.0740747
58882.1142014 1 17.7688 0.0619945
58882.1132292 1 17.7727 0.0935837
58882.1089815 1 17.8028 0.051148
58882.0981597 1 17.8231 0.0605912
58877.1861574 1 17.5188 0.0507716
58874.1652662 1 17.5081 0.0746956
58874.1512731 1 17.4566 0.061803
58871.1847917 1 17.6763 0.049205
58871.1533102 1 17.6007 0.0574838
58867.1452199 1 18.1768 0.111674
58867.1447685 1 18.1015 0.0979955
58864.1407292 1 19.1666 0.100945
