ZTF20aafvzhu 0.050000 Ia
58905.111331 2 18.9838 0.128582
58900.1536227 2 18.649 0.135127
58894.1373032 2 18.2628 0.0924777
58891.120081 2 18.2063 0.0731047
58891.1091088 2 18.1989 0.0695508
58885.1421991 2 18.086 0.0886417
58885.1417477 2 17.9701 0.0848995
58882.1297685 2 17.7655 0.0490971
58882.1288542 2 17.7531 0.0496723
58877.1393519 2 17.4731 0.0390712
58877.1211227 2 17.4552 0.0367492
58875.1022454 2 17.4834 0.0673846
58874.1115394 2 17.4973 0.0481903
58874.111088 2 17.5292 0.056677
58871.1057523 2 17.6716 0.0464945
58871.1007986 2 17.6471 0.0556862
58871.1003472 2 17.638 0.0505656
58867.1089352 2 18.198 0.0695694
58867.0876273 2 18.1961 0.085076
