ZTF20aafxrcv 0.180000 Ia
58880.432419 1 20.3769 0.215944
58879.2640625 1 20.0363 0.409845
58879.2593634 1 20.2894 0.361242
58879.2287037 1 20.4436 0.299637
58878.2678009 1 19.9684 0.408362
58878.2596991 1 19.9953 0.449859
58877.3658796 1 20.4355 0.219292
58877.3649769 1 20.4415 0.246731
58877.3645255 1 20.2866 0.274608
58877.2438773 1 20.3033 0.241295
58876.241875 1 20.3461 0.224067
58876.241875 1 20.3527 0.224232
58876.2363194 1 20.2668 0.206976
58876.2363194 1 20.268 0.205566
58875.4261343 1 20.4371 0.241703
58875.3219097 1 20.4361 0.25969
58874.3688889 1 20.1546 0.129062
58874.3675116 1 20.2492 0.135221
58874.3670602 1 20.3575 0.178599
58874.3661458 1 20.2679 0.191741
58873.3725926 1 20.2182 0.157469
58873.3702778 1 20.2284 0.188297
58872.2386343 1 20.0227 0.22336
58872.2381829 1 20.0542 0.172905
58871.406956 1 20.2948 0.220854
58871.4060532 1 20.0991 0.204222
58871.4056019 1 20.1242 0.187017
58871.4046991 1 20.1732 0.192974
58867.3961574 1 20.0241 0.153423
58866.3896528 1 19.9646 0.210166
58864.4120255 1 19.9667 0.194467
58855.492662 1 20.926 0.340626
